NAME,pop_total_hispanic_base,pop_hispanic,LocationID,pct_hispanic
"Skagway Municipality, Alaska",1308.0,64.0,02230,4.892966360856269
"Southeast Fairbanks Census Area, Alaska",6936.0,402.0,02240,5.795847750865052
"Wrangell City and Borough, Alaska",2106.0,116.0,02275,5.5080721747388415
"Yakutat City and Borough, Alaska",506.0,24.0,02282,4.743083003952568
"Yukon-Koyukuk Census Area, Alaska",5271.0,109.0,02290,2.06791880098653
"Apache County, Arizona",65680.0,4092.0,04001,6.23020706455542
"Cochise County, Arizona",125458.0,43077.0,04003,34.335793652058854
"Coconino County, Arizona",144643.0,22034.0,04005,15.23336767074798
"Gila County, Arizona",53610.0,9529.0,04007,17.774668905055027
"Graham County, Arizona",38860.0,11769.0,04009,30.2856407617087
"Greenlee County, Arizona",9452.0,4396.0,04011,46.50867541261109
"La Paz County, Arizona",16605.0,4230.0,04012,25.474254742547426
"Maricopa County, Arizona",4491987.0,1387720.0,04013,30.893232772044975
"Mohave County, Arizona",217420.0,36295.0,04015,16.693496458467482
"Navajo County, Arizona",107744.0,11466.0,04017,10.641891891891891
"Pima County, Arizona",1049947.0,379548.0,04019,36.14925324802109
"Pinal County, Arizona",449219.0,131771.0,04021,29.333354110133364
"Santa Cruz County, Arizona",48209.0,39875.0,04023,82.71277147420606
"Yavapai County, Arizona",241656.0,36225.0,04025,14.990316813983515
"Yuma County, Arizona",207685.0,133743.0,04027,64.3970435996822
"Arkansas County, Arkansas",16773.0,661.0,05001,3.9408573302331127
"Ashley County, Arkansas",18722.0,1157.0,05003,6.179895310330092
"Baxter County, Arkansas",42150.0,1157.0,05005,2.7449584816132857
"Benton County, Arkansas",294541.0,53388.0,05007,18.12582968075752
"Boone County, Arkansas",37896.0,1120.0,05009,2.955457040320878
"Bradley County, Arkansas",10354.0,1618.0,05011,15.626810894340352
"Calhoun County, Arkansas",4717.0,544.0,05013,11.532753868984525
"Carroll County, Arkansas",28526.0,4423.0,05015,15.505153193577788
"Chicot County, Arkansas",9997.0,628.0,05017,6.2818845653696105
"Clark County, Arkansas",21378.0,1146.0,05019,5.360651136682571
"Clay County, Arkansas",14399.0,120.0,05021,0.8333912077227587
"Cleburne County, Arkansas",25048.0,713.0,05023,2.846534653465347
"Cleveland County, Arkansas",7491.0,23.0,05025,0.30703510879722334
"Columbia County, Arkansas",22527.0,757.0,05027,3.3604119501043197
"Conway County, Arkansas",20872.0,950.0,05029,4.551552318896128
"Craighead County, Arkansas",112097.0,6899.0,05031,6.154491199586073
"Crawford County, Arkansas",60792.0,4950.0,05033,8.14251875246743
"Crittenden County, Arkansas",47609.0,1476.0,05035,3.100254153626415
"Cross County, Arkansas",16681.0,367.0,05037,2.200107907199808
"Dallas County, Arkansas",6351.0,92.0,05039,1.4485907731065975
"Desha County, Arkansas",11041.0,765.0,05041,6.928720224617335
"Drew County, Arkansas",17143.0,706.0,05043,4.118299014174882
"Faulkner County, Arkansas",126001.0,6949.0,05045,5.515035594955595
"Franklin County, Arkansas",17220.0,548.0,05047,3.1823461091753775
"Fulton County, Arkansas",12239.0,208.0,05049,1.699485252063077
"Garland County, Arkansas",100062.0,7179.0,05051,7.174551777897703
"Grant County, Arkansas",18111.0,490.0,05053,2.7055380707857104
"Greene County, Arkansas",46182.0,1678.0,05055,3.6334502620068423
"Hempstead County, Arkansas",19778.0,2955.0,05057,14.940843361310547
"Hot Spring County, Arkansas",33142.0,1323.0,05059,3.991913583971999
"Howard County, Arkansas",12701.0,1559.0,05061,12.27462404535076
"Independence County, Arkansas",38120.0,3313.0,05063,8.690975865687303
"Izard County, Arkansas",13866.0,388.0,05065,2.7982114524736765
"Jackson County, Arkansas",16775.0,515.0,05067,3.070044709388972
"Jefferson County, Arkansas",65780.0,1631.0,05069,2.479477044694436
"Johnson County, Arkansas",25932.0,3539.0,05071,13.647231220114145
"Lafayette County, Arkansas",6211.0,49.0,05073,0.7889228787634841
"Lawrence County, Arkansas",16265.0,348.0,05075,2.1395634798647403
"Lee County, Arkansas",8511.0,249.0,05077,2.9256256609094113
"Lincoln County, Arkansas",12966.0,639.0,05079,4.9282739472466455
"Little River County, Arkansas",11959.0,445.0,05081,3.721046910276779
"Logan County, Arkansas",21240.0,707.0,05083,3.3286252354048966
"Lonoke County, Arkansas",74747.0,3871.0,05085,5.178803162668736
"Madison County, Arkansas",17032.0,1036.0,05087,6.082667919210897
"Marion County, Arkansas",17076.0,446.0,05089,2.6118528929491682
"Miller County, Arkansas",42588.0,1683.0,05091,3.951817413355875
"Mississippi County, Arkansas",39749.0,1861.0,05093,4.681878789403507
"Monroe County, Arkansas",6681.0,189.0,05095,2.828917826672654
"Montgomery County, Arkansas",8571.0,410.0,05097,4.783572511958932
"Nevada County, Arkansas",8228.0,379.0,05099,4.606222654350996
"Newton County, Arkansas",7175.0,123.0,05101,1.7142857142857144
"Ouachita County, Arkansas",22317.0,562.0,05103,2.5182596227091456
"Perry County, Arkansas",10073.0,332.0,05105,3.2959396406234487
"Phillips County, Arkansas",15910.0,305.0,05107,1.9170333123821497
"Pike County, Arkansas",10182.0,801.0,05109,7.866823806717738
"Poinsett County, Arkansas",22740.0,840.0,05111,3.6939313984168867
"Polk County, Arkansas",19348.0,1325.0,05113,6.8482530494107925
"Pope County, Arkansas",63830.0,6783.0,05115,10.62666457778474
"Prairie County, Arkansas",8162.0,179.0,05117,2.193089928938986
"Pulaski County, Arkansas",398949.0,32722.0,05119,8.202050888710085
"Randolph County, Arkansas",18733.0,461.0,05121,2.4608978807452093
"St. Francis County, Arkansas",22740.0,760.0,05123,3.342128408091469
"Saline County, Arkansas",125724.0,8776.0,05125,6.9803696987051
"Scott County, Arkansas",9839.0,768.0,05127,7.805671308059763
"Searcy County, Arkansas",7861.0,172.0,05129,2.188016791756774
"Sebastian County, Arkansas",128448.0,20023.0,05131,15.588409317389138
"Sevier County, Arkansas",15797.0,5538.0,05133,35.057289358739006
"Sharp County, Arkansas",17597.0,409.0,05135,2.324259817014264
"Stone County, Arkansas",12474.0,266.0,05137,2.132435465768799
"Union County, Arkansas",38368.0,1751.0,05139,4.563698915763136
"Van Buren County, Arkansas",15936.0,533.0,05141,3.344628514056225
"Washington County, Arkansas",251863.0,46214.0,05143,18.348864263508336
"White County, Arkansas",77395.0,3693.0,05145,4.77162607403579
"Woodruff County, Arkansas",6157.0,36.0,05147,0.584700341075199
"Yell County, Arkansas",20195.0,4214.0,05149,20.866551126516462
"Alameda County, California",1651949.0,385245.0,06001,23.320635201207786
"Alpine County, California",1695.0,249.0,06003,14.690265486725664
"Amador County, California",41029.0,6361.0,06005,15.50366813717127
"Butte County, California",209470.0,40829.0,06007,19.49157397240655
"Calaveras County, California",45995.0,6403.0,06009,13.921078378084575
"Colusa County, California",21895.0,13639.0,06011,62.292760904316054
"Contra Costa County, California",1161458.0,316799.0,06013,27.27597554108715
"Del Norte County, California",27293.0,5350.0,06015,19.602095775473565
"El Dorado County, California",192299.0,27230.0,06017,14.160240042849937
"Fresno County, California",1012152.0,547669.0,06019,54.10936302057399
"Glenn County, California",28623.0,12632.0,06021,44.13234112427069
"Humboldt County, California",135418.0,18744.0,06023,13.841586790530064
"Imperial County, California",179319.0,153460.0,06025,85.5793306899994
"Inyo County, California",18803.0,4469.0,06027,23.767483912141678
"Kern County, California",910433.0,507456.0,06029,55.73787417635345
"Kings County, California",152830.0,87860.0,06031,57.48871294902833
"Lake County, California",68139.0,16184.0,06033,23.751449243458225
"Lassen County, California",31177.0,7027.0,06035,22.539051223658465
"Los Angeles County, California",9848406.0,4753369.0,06037,48.26536395839083
"Madera County, California",158790.0,95835.0,06039,60.35329680710372
"Marin County, California",258765.0,49128.0,06041,18.98556605414179
"Mariposa County, California",17060.0,2341.0,06043,13.722157092614303
"Mendocino County, California",90709.0,24440.0,06045,26.94330220816016
"Merced County, California",285597.0,178961.0,06047,62.66207278087656
"Modoc County, California",8646.0,1321.0,06049,15.278741614619475
"Mono County, California",13169.0,3513.0,06051,26.676285215278305
"Monterey County, California",435834.0,265748.0,06053,60.97459124345508
"Napa County, California",136070.0,48801.0,06055,35.864628500036744
"Nevada County, California",102452.0,10723.0,06057,10.466364736657166
"Orange County, California",3164063.0,1080480.0,06059,34.1484983073978
"Placer County, California",412435.0,63412.0,06061,15.375028792415774
"Plumas County, California",19607.0,1965.0,06063,10.02193094303055
"Riverside County, California",2449909.0,1239702.0,06065,50.601961134066606
"Sacramento County, California",1584047.0,379734.0,06067,23.972394758488857
"San Benito County, California",66056.0,40783.0,06069,61.740038754995766
"San Bernardino County, California",2187816.0,1193691.0,06071,54.56084972410843
"San Diego County, California",3282782.0,1127221.0,06073,34.33736995024342
"San Francisco County, California",836321.0,133266.0,06075,15.934790588781103
"San Joaquin County, California",787416.0,332543.0,06077,42.23218730632855
"San Luis Obispo County, California",281486.0,68980.0,06079,24.505659251259388
"San Mateo County, California",745100.0,185378.0,06081,24.879613474701383
"Santa Barbara County, California",443975.0,211412.0,06083,47.61799650881243
"Santa Clara County, California",1903297.0,477632.0,06085,25.09497992168327
"Santa Cruz County, California",266021.0,93116.0,06087,35.003251622992174
"Shasta County, California",181554.0,20604.0,06089,11.34868964605572
"Sierra County, California",2731.0,262.0,06091,9.593555474185282
"Siskiyou County, California",43834.0,5757.0,06093,13.13364055299539
"Solano County, California",450824.0,130628.0,06095,28.975387290827463
"Sonoma County, California",485642.0,142986.0,06097,29.442675880586933
"Stanislaus County, California",552250.0,271787.0,06099,49.21448619284744
"Sutter County, California",98971.0,32061.0,06101,32.3943377352962
"Tehama County, California",65520.0,18458.0,06103,28.171550671550673
"Trinity County, California",15886.0,936.0,06105,5.8919803600654665
"Tulare County, California",475774.0,314250.0,06107,66.05026756401149
"Tuolumne County, California",54873.0,7250.0,06109,13.212326645162467
"Ventura County, California",838259.0,367516.0,06111,43.842774130668445
"Yolo County, California",217782.0,72347.0,06113,33.21991716487129
"Yuba County, California",83079.0,24887.0,06115,29.955825178444613
"Adams County, Colorado",524408.0,221633.0,08001,42.26346661378164
"Alamosa County, Colorado",16515.0,7900.0,08003,47.83530124129579
"Arapahoe County, Colorado",655709.0,138906.0,08005,21.184092333641903
"Archuleta County, Colorado",13730.0,2255.0,08007,16.423889293517842
"Baca County, Colorado",3460.0,370.0,08009,10.69364161849711
"Bent County, Colorado",5524.0,1780.0,08011,32.22302679217958
"Boulder County, Colorado",328317.0,47948.0,08013,14.604178278919457
"Broomfield County, Colorado",75110.0,10381.0,08014,13.821062441752098
"Chaffee County, Colorado",19876.0,1933.0,08015,9.725296840410545
"Cheyenne County, Colorado",1732.0,219.0,08017,12.64434180138568
"Clear Creek County, Colorado",9358.0,708.0,08019,7.565719170762984
"Conejos County, Colorado",7536.0,3773.0,08021,50.06634819532909
"Costilla County, Colorado",3571.0,1985.0,08023,55.58667040044806
"Crowley County, Colorado",5734.0,1644.0,08025,28.67108475758633
"Custer County, Colorado",5073.0,92.0,08027,1.8135225704711218
"Delta County, Colorado",31353.0,4460.0,08029,14.225114024176314
"Denver County, Colorado",713734.0,199425.0,08031,27.941081691498514
"Dolores County, Colorado",2385.0,296.0,08033,12.41090146750524
"Douglas County, Colorado",368283.0,36431.0,08035,9.892121004770788
"Eagle County, Colorado",55374.0,16729.0,08037,30.210929317007984
"Elbert County, Colorado",27152.0,2337.0,08039,8.607100766057748
"El Paso County, Colorado",736008.0,134942.0,08041,18.334311583569743
"Fremont County, Colorado",49394.0,6399.0,08043,12.955014779122969
"Garfield County, Colorado",62034.0,19867.0,08045,32.025985749750134
"Gilpin County, Colorado",5877.0,413.0,08047,7.027394929385741
"Grand County, Colorado",15794.0,1573.0,08049,9.959478282892238
"Gunnison County, Colorado",17158.0,1691.0,08051,9.85546100944166
"Hinsdale County, Colorado",939.0,29.0,08053,3.08839190628328
"Huerfano County, Colorado",6946.0,2141.0,08055,30.82349553699971
"Jackson County, Colorado",1422.0,189.0,08057,13.291139240506327
"Jefferson County, Colorado",579715.0,92162.0,08059,15.897811855825708
"Kiowa County, Colorado",1356.0,133.0,08061,9.808259587020649
"Kit Carson County, Colorado",7015.0,1383.0,08063,19.714896650035637
"Lake County, Colorado",7411.0,2606.0,08065,35.163945486439076
"La Plata County, Colorado",56088.0,7149.0,08067,12.746041934103552
"Larimer County, Colorado",363561.0,46167.0,08069,12.698556775891804
"Las Animas County, Colorado",14392.0,5614.0,08071,39.007782101167315
"Lincoln County, Colorado",5561.0,827.0,08073,14.871426002517532
"Logan County, Colorado",21067.0,3530.0,08075,16.75606398632933
"Mesa County, Colorado",157316.0,23957.0,08077,15.228584505072593
"Mineral County, Colorado",799.0,19.0,08079,2.3779724655819776
"Moffat County, Colorado",13258.0,2178.0,08081,16.427817166993513
"Montezuma County, Colorado",26204.0,3243.0,08083,12.37597313387269
"Montrose County, Colorado",43272.0,9195.0,08085,21.24930671103716
"Morgan County, Colorado",29186.0,10918.0,08087,37.40834646748441
"Otero County, Colorado",18460.0,7698.0,08089,41.70097508125677
"Ouray County, Colorado",5024.0,238.0,08091,4.737261146496816
"Park County, Colorado",17739.0,1315.0,08093,7.413044703760077
"Phillips County, Colorado",4491.0,1214.0,08095,27.031841460699173
"Pitkin County, Colorado",17119.0,1904.0,08097,11.122144985104269
"Prowers County, Colorado",11931.0,4750.0,08099,39.812253792641016
"Pueblo County, Colorado",168726.0,70812.0,08101,41.9686355392767
"Rio Blanco County, Colorado",6518.0,685.0,08103,10.50935869898742
"Rio Grande County, Colorado",11394.0,4630.0,08105,40.63542215200983
"Routt County, Colorado",24990.0,2180.0,08107,8.723489395758303
"Saguache County, Colorado",6511.0,2404.0,08109,36.922131776992785
"San Juan County, Colorado",690.0,112.0,08111,16.231884057971012
"San Miguel County, Colorado",8026.0,906.0,08113,11.28831298280588
